policy,conversion_type,n_seeds,TP_mean,TP_std,TN_mean,TN_std,FP_mean,FP_std,FN_mean,FN_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auprc_mean,auprc_std,cumulative_reward_mean,cumulative_reward_std,cumulative_regret_mean,cumulative_regret_std
CS_EpsilonGreedy,Cost-Sensitive,5,80.0,2.5495097567963922,81041.6,63.76362599476302,4293.4,63.76362599476288,28.0,2.5495097567963922,0.018293400512344765,0.0005535438983444602,0.7407407407407407,0.023606571822188824,0.03570487806041651,0.0010786620490538788,0.7555716835619685,0.003999216148163362,-46867.229999999996,980.7819686607207,46276.52,980.7819686607207
CS_LinUCB,Cost-Sensitive,5,83.0,0.0,85321.0,0.0,14.0,0.0,25.0,0.0,0.8556701030927835,0.0,0.7685185185185185,0.0,0.8097560975609757,0.0,0.7529036297377105,4.3219977156923655e-05,-3509.7,0.0,2918.9900000000002,0.0
CS_LinTS,Cost-Sensitive,5,83.0,0.0,85322.8,1.3038404810394137,12.2,1.30384048104053,25.0,0.0,0.8719790187521888,0.011890874407000152,0.7685185185185185,0.0,0.8169559868680961,0.00523125342949094,0.7592130861817207,0.000670348036913919,-3491.7,13.038404810405341,2900.9900000000002,13.038404810405341
CS_BootstrappedUCB,Cost-Sensitive,5,82.8,0.44721359549995915,85325.4,0.8944271909984923,9.6,0.8944271909999161,25.2,0.44721359549995815,0.8962007168458781,0.008335163787095987,0.7666666666666666,0.0041408666249995625,0.826353083069501,0.0010787603690636108,0.7546659798713126,0.0017267035625296429,-3528.618,131.74465309833246,2937.9080000000004,131.74465309833246
CS_BootstrappedTS,Cost-Sensitive,5,81.4,1.5165750888103104,85317.8,11.584472366059343,17.2,11.584472366059664,26.6,1.51657508881031,0.8340041129223048,0.09181945620014044,0.7537037037037037,0.014042361933428784,0.7898849859763691,0.044819819823103284,0.7527866749040808,0.009099922876375302,-3929.8779999999997,491.6687988066763,3339.168,491.6687988066762
LM_EpsilonGreedy,0/1 Label-Matching,5,69.6,7.368853370776215,81064.4,90.33437883773867,4270.6,90.33437883773821,38.4,7.3688533707762165,0.01603838261815583,0.0017136438038322316,0.6444444444444445,0.06823012380348349,0.03129758025453838,0.0033414934013099307,0.533356393574278,0.02697207319565077,-49476.964,1862.9593553886255,48886.254,1862.9593553886284
LM_LinUCB,0/1 Label-Matching,5,79.2,3.033150177620621,85316.0,1.581138830082464,19.0,1.5811388300841893,28.8,3.03315017762062,0.8067043517011548,0.009896046006418503,0.7333333333333333,0.02808472386685761,0.7679783217634879,0.014903770870154221,0.7649265616439244,0.015186480234983719,-3940.2339999999995,374.1761673062568,3349.524,374.1761673062568
LM_LinTS,0/1 Label-Matching,5,70.8,12.173742234826559,85324.0,4.123105625616006,11.0,4.123105625617661,37.2,12.17374223482656,0.8682345991478485,0.027913767682644034,0.6555555555555556,0.11271983550765334,0.7416229713147303,0.07079917975857479,0.7414195724804428,0.045462259635314965,-6570.552000000001,3248.1961386698927,5979.842000000001,3248.196138669893
LM_BootstrappedUCB,0/1 Label-Matching,5,72.6,2.3021728866442683,85330.0,2.1213203435596424,5.0,2.1213203435596424,35.4,2.3021728866442674,0.9361539450441889,0.02517861320175927,0.6722222222222223,0.02131641561707658,0.7822508106233989,0.016496928339208617,0.6642437393744217,0.01895990594256317,-6160.688,845.6140416111831,5569.978,845.6140416111831
LM_BootstrappedTS,0/1 Label-Matching,5,72.4,3.209361307176243,85328.8,1.3038404810415063,6.2,1.3038404810405297,35.6,3.209361307176242,0.9208568261007285,0.018029427221245516,0.6703703703703703,0.029716308399779994,0.7757682878847493,0.02548140008355595,0.6490248943258023,0.02190995790950079,-5934.3,1525.6434084837783,5343.589999999999,1525.6434084837776
LogisticRegression,Supervised Learning (dynamic),1,44.0,,71801.0,,13534.0,,64.0,,0.00324053616143762,,0.4074074074074074,,0.006429928393979249,,0.7470716926962336,,-136071.69999999998,,135480.99,
LogisticRegression,Supervised Learning (flat 0.5),1,98.0,,80628.0,,4707.0,,10.0,,0.020395421436004164,,0.9074074074074074,,0.03989415835538368,,0.7470716926962336,,-50147.04,,49556.33,
RandomForest,Supervised Learning (dynamic),5,39.2,0.8366600265340751,84894.0,16.673332000533257,441.0,16.673332000533065,68.8,0.8366600265340751,0.081706034217622,0.0031676241433586647,0.362962962962963,0.007746852097537728,0.1333662395214645,0.004470186327564921,0.8222525861489837,0.0030049525142272376,-5993.314,591.4475924627643,5402.604000000001,591.4475924627643
RandomForest,Supervised Learning (flat 0.5),5,78.8,1.0954451150103328,85334.0,0.0,1.0,0.0,29.2,1.0954451150103321,0.9874667616334284,0.0001739392784004442,0.7296296296296296,0.010143010324169758,0.8391588863105678,0.00680229164736712,0.8222525861489837,0.0030049525142272376,-5097.6320000000005,106.84952302186467,4506.9220000000005,106.84952302186467
XGBoost,Supervised Learning (dynamic),1,37.0,,85263.0,,72.0,,71.0,,0.3394495412844037,,0.3425925925925926,,0.34101382488479265,,0.7990362537074601,,-3313.1800000000003,,2722.4700000000003,
XGBoost,Supervised Learning (flat 0.5),1,81.0,,85320.0,,15.0,,27.0,,0.84375,,0.75,,0.7941176470588235,,0.7990362537074601,,-4980.09,,4389.38,
