policy,family,cumulative_reward,cumulative_regret,fraud_catch_rate,false_block_rate
Oracle,Oracle,-1080.0,0.0,1.0,0.0
XGBoost,Batch SL (frozen),-3313.1800000000003,2233.1800000000003,0.3425925925925926,0.0008437335208296713
CS_LinTS,Bandit (partial feedback),-3469.7000000000003,2389.7000000000003,0.7685185185185185,0.00011718521122634323
CS_BootstrappedUCB,Bandit (partial feedback),-3469.7000000000003,2389.7000000000003,0.7685185185185185,0.00011718521122634323
CS_LinUCB,Bandit (partial feedback),-3479.7000000000003,2399.7000000000003,0.7685185185185185,0.00012890373234897756
CS_BootstrappedTS,Bandit (partial feedback),-3608.9900000000002,2528.9900000000002,0.7592592592592593,0.0002812445069432238
FullInfoOnline,Full-Info Online,-4241.33,3161.3300000000004,0.3055555555555556,0.0013593484502255814
RandomForest,Batch SL (frozen),-6237.97,5157.97,0.3611111111111111,0.004945215913751685
CS_EpsilonGreedy,Bandit (partial feedback),-46491.119999999995,45411.119999999995,0.7222222222222222,0.05054198160192184
LogisticRegression,Batch SL (frozen),-136071.69999999998,134991.69999999998,0.4074074074074074,0.15859846487373294
