policy,family,seed,TP,TN,FP,FN,precision,recall,f1,auprc,cumulative_reward,cumulative_regret
Oracle,Oracle,,47,85335,0,61,1.0,0.4351851851851852,0.6064516129032258,,-590.7099999999999,0.0
FullInfoOnline,Full-Info Online,,37,85298,37,71,0.5,0.3425925925925926,0.40659340659340665,0.8086052319186251,-3360.2200000000007,2769.5100000000007
PartialInfoOnline,Partial-Info Online,,35,85016,319,73,0.09887005649717515,0.32407407407407407,0.15151515151515152,0.5315892255991852,-6437.380000000001,5846.670000000001
CS_EpsilonGreedy,Bandit (partial feedback),42,78,81029,4306,30,0.017791970802919707,0.7222222222222222,0.034728406055209264,0.758869450281395,-46906.369999999995,46315.659999999996
CS_EpsilonGreedy,Bandit (partial feedback),43,84,80973,4362,24,0.018893387314439947,0.7777777777777778,0.03689064558629777,0.7601233404141353,-46997.509999999995,46406.799999999996
CS_EpsilonGreedy,Bandit (partial feedback),44,78,80993,4342,30,0.01764705882352941,0.7222222222222222,0.03445229681978798,0.7523440072458265,-48399.659999999996,47808.95
CS_EpsilonGreedy,Bandit (partial feedback),45,79,81124,4211,29,0.018414918414918414,0.7314814814814815,0.035925420645748066,0.7556360894456762,-46144.24999999999,45553.53999999999
CS_EpsilonGreedy,Bandit (partial feedback),46,81,81089,4246,27,0.01871966720591634,0.75,0.03652762119503946,0.7508855304228096,-45888.36,45297.65
CS_LinUCB,Bandit (partial feedback),42,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7528263154921834,-3509.7000000000003,2918.9900000000002
CS_LinUCB,Bandit (partial feedback),43,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7529229582990923,-3509.7000000000003,2918.9900000000002
CS_LinUCB,Bandit (partial feedback),44,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7529229582990923,-3509.7000000000003,2918.9900000000002
CS_LinUCB,Bandit (partial feedback),45,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7529229582990923,-3509.7000000000003,2918.9900000000002
CS_LinUCB,Bandit (partial feedback),46,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7529229582990923,-3509.7000000000003,2918.9900000000002
CS_LinTS,Bandit (partial feedback),42,83,85323,12,25,0.8736842105263158,0.7685185185185185,0.8177339901477831,0.75987963919568,-3489.7000000000003,2898.9900000000002
CS_LinTS,Bandit (partial feedback),43,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7584378181938951,-3509.7000000000003,2918.9900000000002
CS_LinTS,Bandit (partial feedback),44,83,85324,11,25,0.8829787234042553,0.7685185185185185,0.8217821782178217,0.7595360477120059,-3479.7000000000003,2888.9900000000002
CS_LinTS,Bandit (partial feedback),45,83,85324,11,25,0.8829787234042553,0.7685185185185185,0.8217821782178217,0.7596649251766117,-3479.7000000000003,2888.9900000000002
CS_LinTS,Bandit (partial feedback),46,83,85322,13,25,0.8645833333333334,0.7685185185185185,0.8137254901960784,0.7585470006304109,-3499.7000000000003,2908.9900000000002
CS_BootstrappedUCB,Bandit (partial feedback),42,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7540176662266206,-3469.7000000000003,2878.9900000000002
