policy,family,n_seeds,TP_mean,TP_std,TN_mean,TN_std,FP_mean,FP_std,FN_mean,FN_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auprc_mean,auprc_std,cumulative_reward_mean,cumulative_reward_std,cumulative_regret_mean,cumulative_regret_std
Oracle,Oracle,1,47.0,,85335.0,,0.0,,61.0,,1.0,,0.4351851851851852,,0.6064516129032258,,,,-590.7099999999999,,0.0,
FullInfoOnline,Full-Info Online,1,37.0,,85298.0,,37.0,,71.0,,0.5,,0.3425925925925926,,0.40659340659340665,,0.8086052319186251,,-3360.2200000000007,,2769.5100000000007,
PartialInfoOnline,Partial-Info Online,1,35.0,,85016.0,,319.0,,73.0,,0.09887005649717515,,0.32407407407407407,,0.15151515151515152,,0.5315892255991852,,-6437.380000000001,,5846.670000000001,
CS_EpsilonGreedy,Bandit (partial feedback),5,80.0,2.5495097567963922,81041.6,63.76362599476302,4293.4,63.76362599476288,28.0,2.5495097567963922,0.018293400512344765,0.0005535438983444602,0.7407407407407407,0.023606571822188824,0.03570487806041651,0.0010786620490538788,0.7555716835619685,0.003999216148163362,-46867.229999999996,980.7819686607207,46276.52,980.7819686607207
CS_LinUCB,Bandit (partial feedback),5,83.0,0.0,85321.0,0.0,14.0,0.0,25.0,0.0,0.8556701030927835,0.0,0.7685185185185185,0.0,0.8097560975609757,0.0,0.7529036297377105,4.3219977156923655e-05,-3509.7,0.0,2918.9900000000002,0.0
CS_LinTS,Bandit (partial feedback),5,83.0,0.0,85322.8,1.3038404810394137,12.2,1.30384048104053,25.0,0.0,0.8719790187521888,0.011890874407000152,0.7685185185185185,0.0,0.8169559868680961,0.00523125342949094,0.7592130861817207,0.000670348036913919,-3491.7,13.038404810405341,2900.9900000000002,13.038404810405341
CS_BootstrappedUCB,Bandit (partial feedback),5,82.8,0.44721359549995915,85325.4,0.8944271909984923,9.6,0.8944271909999161,25.2,0.44721359549995815,0.8962007168458781,0.008335163787095987,0.7666666666666666,0.0041408666249995625,0.826353083069501,0.0010787603690636108,0.7546659798713126,0.0017267035625296429,-3528.618,131.74465309833246,2937.9080000000004,131.74465309833246
CS_BootstrappedTS,Bandit (partial feedback),5,81.4,1.5165750888103104,85317.8,11.584472366059343,17.2,11.584472366059664,26.6,1.51657508881031,0.8340041129223048,0.09181945620014044,0.7537037037037037,0.014042361933428784,0.7898849859763691,0.044819819823103284,0.7527866749040808,0.009099922876375302,-3929.8779999999997,491.6687988066763,3339.168,491.6687988066762
LogisticRegression,Supervised (frozen),1,44.0,,71801.0,,13534.0,,64.0,,0.00324053616143762,,0.4074074074074074,,0.006429928393979249,,0.7470716926962336,,-136071.69999999998,,135480.99,
RandomForest,Supervised (frozen),5,39.2,0.8366600265340751,84894.0,16.673332000533257,441.0,16.673332000533065,68.8,0.8366600265340751,0.081706034217622,0.0031676241433586647,0.362962962962963,0.007746852097537728,0.1333662395214645,0.004470186327564921,0.8222525861489837,0.0030049525142272376,-5993.314,591.4475924627643,5402.604000000001,591.4475924627643
XGBoost,Supervised (frozen),1,37.0,,85263.0,,72.0,,71.0,,0.3394495412844037,,0.3425925925925926,,0.34101382488479265,,0.7990362537074601,,-3313.1800000000003,,2722.4700000000003,
