C_a,policy,cumulative_reward,cumulative_regret,fraud_catch_rate,false_block_rate
1.0,CS_EpsilonGreedy,-380.0,374.0,1.0,0.08322207387627949
1.0,CS_LinUCB,-361.0,355.0,1.0,0.0789942145082332
1.0,CS_LinTS,-303.0,297.0,1.0,0.06608811748998665
1.0,CS_BootstrappedUCB,-6.0,0.0,1.0,0.0
1.0,CS_BootstrappedTS,-161.0,155.0,1.0,0.03449043168669337
5.0,CS_EpsilonGreedy,-1120.0,1090.0,1.0,0.04850912327547842
5.0,CS_LinUCB,-80.0,50.0,1.0,0.0022251891410769915
5.0,CS_LinTS,-40.0,10.0,1.0,0.0004450378282153983
5.0,CS_BootstrappedUCB,-30.0,0.0,1.0,0.0
5.0,CS_BootstrappedTS,-282.26,252.26,0.8333333333333334,0.0008900756564307966
10.0,CS_EpsilonGreedy,-2220.0,2160.0,1.0,0.04806408544726302
10.0,CS_LinUCB,-70.0,10.0,1.0,0.00022251891410769915
10.0,CS_LinTS,-60.0,0.0,1.0,0.0
10.0,CS_BootstrappedUCB,-60.0,0.0,1.0,0.0
10.0,CS_BootstrappedTS,-297.26,237.26,0.8333333333333334,0.00022251891410769915
20.0,CS_EpsilonGreedy,-4440.0,4320.0,1.0,0.04806408544726302
20.0,CS_LinUCB,-120.0,0.0,1.0,0.0
20.0,CS_LinTS,-120.0,0.0,1.0,0.0
20.0,CS_BootstrappedUCB,-337.26,217.26,0.8333333333333334,0.0
20.0,CS_BootstrappedTS,-357.26,237.26,0.8333333333333334,0.00022251891410769915
50.0,CS_EpsilonGreedy,-11832.34,11532.34,0.5,0.04806408544726302
50.0,CS_LinUCB,-786.3399999999999,486.34,0.6666666666666666,0.0
50.0,CS_LinTS,-933.8799999999999,633.88,0.16666666666666666,0.0
50.0,CS_BootstrappedUCB,-1273.8799999999999,973.88,0.0,0.0
50.0,CS_BootstrappedTS,-1323.8799999999999,1023.88,0.0,0.00022251891410769915
1.0,LogisticRegression,-38133.55,38025.55,0.6111111111111112,0.4457256694205191
5.0,LogisticRegression,-101479.78,100939.78,0.49074074074074076,0.23701880822640184
10.0,LogisticRegression,-136071.69999999998,134991.69999999998,0.4074074074074074,0.15859846487373294
20.0,LogisticRegression,-169952.1,167792.1,0.37962962962962965,0.0989043182750337
50.0,LogisticRegression,-208841.52,203441.52,0.3055555555555556,0.04837405519423449
1.0,RandomForest,-3133.54,3025.54,0.5,0.030772836468037735
5.0,RandomForest,-4977.04,4437.039999999999,0.39814814814814814,0.009972461475361809
10.0,RandomForest,-6237.97,5157.97,0.3611111111111111,0.004945215913751685
20.0,RandomForest,-6116.620000000001,3956.62,0.3425925925925926,0.0019804300697252005
50.0,RandomForest,-6169.389999999999,769.3900000000001,0.25925925925925924,0.00037499267592429835
1.0,XGBoost,-2593.03,2485.03,0.4722222222222222,0.004453038026601043
5.0,XGBoost,-2989.9500000000007,2449.9500000000007,0.37962962962962965,0.0013945040135934846
10.0,XGBoost,-3313.1800000000003,2233.1800000000003,0.3425925925925926,0.0008437335208296713
20.0,XGBoost,-3913.8800000000006,1753.8799999999997,0.3333333333333333,0.0005624890138864475
50.0,XGBoost,-5768.02,368.01999999999987,0.26851851851851855,0.0002812445069432238
