C_a,policy,seed,TP,TN,FP,FN,precision,recall,f1,auprc,cumulative_reward,cumulative_regret
1.0,CS_EpsilonGreedy,42,79,79865,5470,29,0.014236799423319516,0.7314814814814815,0.02792999823227859,0.7518723857541854,-7518.38,7425.79
1.0,CS_EpsilonGreedy,43,85,79512,5823,23,0.014387271496276235,0.7870370370370371,0.028257978723404253,0.7513295460049255,-7348.5199999999995,7255.929999999999
1.0,CS_EpsilonGreedy,44,83,75671,9664,25,0.008515440648404638,0.7685185185185185,0.016844241501775752,0.5348497071466741,-12179.820000000003,12087.230000000003
1.0,CS_EpsilonGreedy,45,79,80097,5238,29,0.014858002633063758,0.7314814814814815,0.02912442396313364,0.753116291618575,-8561.250000000002,8468.660000000002
1.0,CS_EpsilonGreedy,46,83,78172,7163,25,0.011454595638973226,0.7685185185185185,0.022572749524068535,0.6806861803260739,-9207.59,9115.0
1.0,CS_LinUCB,42,85,81829,3506,23,0.023670286828181564,0.7870370370370371,0.04595836712625033,0.7587455698161121,-5021.4,4928.8099999999995
1.0,CS_LinUCB,43,87,81012,4323,21,0.019727891156462583,0.8055555555555556,0.03851261620185923,0.7596239465550026,-5838.63,5746.04
1.0,CS_LinUCB,44,87,81012,4323,21,0.019727891156462583,0.8055555555555556,0.03851261620185923,0.7596239465550026,-5838.63,5746.04
1.0,CS_LinUCB,45,87,81012,4323,21,0.019727891156462583,0.8055555555555556,0.03851261620185923,0.7596239465550026,-5838.63,5746.04
1.0,CS_LinUCB,46,87,81012,4323,21,0.019727891156462583,0.8055555555555556,0.03851261620185923,0.7596239465550026,-5838.63,5746.04
1.0,CS_LinTS,42,89,71889,13446,19,0.00657554488363502,0.8240740740740741,0.01304698380121674,0.7557724636807326,-13763.570000000002,13670.980000000001
1.0,CS_LinTS,43,105,60148,25187,3,0.004151510359006801,0.9722222222222222,0.00826771653543307,0.7884579048832606,-25302.06,25209.47
1.0,CS_LinTS,44,105,55151,30184,3,0.0034666050381326552,0.9722222222222222,0.0069085765042602885,0.175329636936731,-30299.06,30206.47
1.0,CS_LinTS,45,102,63101,22234,6,0.0045666189111747855,0.9444444444444444,0.009089288896809839,0.7914392930311588,-22981.05,22888.46
1.0,CS_LinTS,46,84,84565,770,24,0.09836065573770492,0.7777777777777778,0.17463617463617465,0.757878184997202,-3392.9300000000003,3300.34
1.0,CS_BootstrappedUCB,42,85,83883,1452,23,0.05530253741054001,0.7870370370370371,0.10334346504559269,0.7555774206411972,-2967.4,2874.81
1.0,CS_BootstrappedUCB,43,83,84932,403,25,0.17078189300411523,0.7685185185185185,0.27946127946127947,0.7575791836167276,-3025.7000000000003,2933.11
1.0,CS_BootstrappedUCB,44,83,84894,441,25,0.15839694656488548,0.7685185185185185,0.2626582278481013,0.6339743442997859,-3063.7000000000003,2971.11
1.0,CS_BootstrappedUCB,45,83,85162,173,25,0.32421875,0.7685185185185185,0.45604395604395603,0.7591912482397462,-2795.7000000000003,2703.11
1.0,CS_BootstrappedUCB,46,83,85090,245,25,0.2530487804878049,0.7685185185185185,0.38073394495412843,0.759948935525434,-2867.7000000000003,2775.11
1.0,CS_BootstrappedTS,42,86,82663,2672,22,0.03118201595358956,0.7962962962962963,0.06001395673412421,0.7545488863137043,-3554.1000000000004,3461.51
1.0,CS_BootstrappedTS,43,85,84286,1049,23,0.07495590828924162,0.7870370370370371,0.13687600644122383,0.7384563544064585,-2575.7200000000003,2483.13
1.0,CS_BootstrappedTS,44,86,83586,1749,22,0.046866485013623976,0.7962962962962963,0.0885229027277406,0.7570924506959595,-3276.94,3184.35
1.0,CS_BootstrappedTS,45,84,84433,902,24,0.08519269776876268,0.7777777777777778,0.1535648994515539,0.7580959097032336,-3513.3900000000003,3420.8
1.0,CS_BootstrappedTS,46,85,84316,1019,23,0.0769927536231884,0.7870370370370371,0.14026402640264027,0.7568312362343772,-3008.63,2916.04
1.0,LM_EpsilonGreedy,42,68,81092,4243,40,0.01577360241243331,0.6296296296296297,0.030776193708983934,0.5437671699724378,-12725.67,12633.08
1.0,LM_EpsilonGreedy,43,75,80954,4381,33,0.016831238779174147,0.6944444444444444,0.03286590709903593,0.49076724263037547,-10086.92,9994.33
1.0,LM_EpsilonGreedy,44,68,80990,4345,40,0.015409018808067075,0.6296296296296297,0.0300818403008184,0.5375801065232355,-9868.699999999999,9776.109999999999
1.0,LM_EpsilonGreedy,45,78,81173,4162,30,0.01839622641509434,0.7222222222222222,0.035878564857405704,0.5643510623398821,-8293.02,8200.43
1.0,LM_EpsilonGreedy,46,59,81113,4222,49,0.013781826676010278,0.5462962962962963,0.02688539530644794,0.5303163864054591,-11101.510000000002,11008.920000000002
1.0,LM_LinUCB,42,81,85317,18,27,0.8181818181818182,0.75,0.7826086956521738,0.7732316573031277,-2756.48,2663.89
1.0,LM_LinUCB,43,75,85318,17,33,0.8152173913043478,0.6944444444444444,0.7499999999999999,0.7398554740056542,-3506.7700000000004,3414.1800000000003
1.0,LM_LinUCB,44,81,85314,21,27,0.7941176470588235,0.75,0.7714285714285715,0.7735736999357431,-2759.48,2666.89
1.0,LM_LinUCB,45,82,85315,20,26,0.803921568627451,0.7592592592592593,0.780952380952381,0.7766427431917476,-2758.7200000000003,2666.13
1.0,LM_LinUCB,46,77,85316,19,31,0.8020833333333334,0.7129629629629629,0.7549019607843137,0.7613292337833492,-3500.7200000000007,3408.1300000000006
1.0,LM_LinTS,42,75,85327,8,33,0.9036144578313253,0.6944444444444444,0.7853403141361257,0.741183434143485,-4328.69,4236.099999999999
1.0,LM_LinTS,43,61,85327,8,47,0.8840579710144928,0.5648148148148148,0.6892655367231638,0.6809056943193742,-9436.12,9343.53
1.0,LM_LinTS,44,82,85319,16,26,0.8367346938775511,0.7592592592592593,0.796116504854369,0.7807195796861393,-2914.0900000000006,2821.5000000000005
1.0,LM_LinTS,45,81,85320,15,27,0.84375,0.75,0.7941176470588235,0.7897659871048368,-2950.8400000000006,2858.2500000000005
1.0,LM_LinTS,46,55,85327,8,53,0.873015873015873,0.5092592592592593,0.6432748538011696,0.7145231671483784,-9542.02,9449.43
1.0,LM_BootstrappedUCB,42,72,85330,5,36,0.935064935064935,0.6666666666666666,0.7783783783783784,0.6596647699273251,-5075.7300000000005,4983.14
1.0,LM_BootstrappedUCB,43,74,85327,8,34,0.9024390243902439,0.6851851851851852,0.7789473684210526,0.6705432004938066,-4734.96,4642.37
1.0,LM_BootstrappedUCB,44,75,85330,5,33,0.9375,0.6944444444444444,0.7978723404255319,0.6859456868713617,-4897.75,4805.16
1.0,LM_BootstrappedUCB,45,69,85330,5,39,0.9324324324324325,0.6388888888888888,0.7582417582417582,0.6347563825781797,-6863.86,6771.2699999999995
1.0,LM_BootstrappedUCB,46,73,85333,2,35,0.9733333333333334,0.6759259259259259,0.7978142076502733,0.6703086570014354,-5739.14,5646.55
1.0,LM_BootstrappedTS,42,72,85330,5,36,0.935064935064935,0.6666666666666666,0.7783783783783784,0.6464169507475532,-3521.8199999999997,3429.2299999999996
1.0,LM_BootstrappedTS,43,74,85329,6,34,0.925,0.6851851851851852,0.7872340425531915,0.6632043399764364,-4633.37,4540.78
1.0,LM_BootstrappedTS,44,77,85330,5,31,0.9390243902439024,0.7129629629629629,0.8105263157894737,0.6776120783522122,-4301.74,4209.15
1.0,LM_BootstrappedTS,45,69,85327,8,39,0.8961038961038961,0.6388888888888888,0.7459459459459459,0.6356066265862629,-7075.54,6982.95
1.0,LM_BootstrappedTS,46,70,85328,7,38,0.9090909090909091,0.6481481481481481,0.7567567567567568,0.6222844759665473,-6602.03,6509.44
1.0,LogisticRegression,,66,47299,38036,42,0.001732192535824891,0.6111111111111112,0.003454593038471604,0.7470716926962336,-38133.55,38040.96000000001
1.0,RandomForest,42,54,82716,2619,54,0.020202020202020204,0.5,0.03883495145631068,0.8265550880002713,-3126.54,3033.95
1.0,RandomForest,43,54,82818,2517,54,0.021003500583430573,0.5,0.040313549832026875,0.8212756300304096,-3024.54,2931.95
1.0,RandomForest,44,53,82626,2709,55,0.019188993482983346,0.49074074074074076,0.036933797909407665,0.8224522167317802,-4312.53,4219.94
1.0,RandomForest,45,53,82575,2760,55,0.018841094916459297,0.49074074074074076,0.036288942143101674,0.8227703166768275,-4363.53,4270.94
1.0,RandomForest,46,54,82700,2635,54,0.02008181480104128,0.5,0.03861279942795852,0.8182096793056296,-3142.54,3049.95
1.0,XGBoost,,51,84970,365,57,0.12259615384615384,0.4722222222222222,0.1946564885496183,0.7990362537074601,-2578.03,2485.44
5.0,CS_EpsilonGreedy,42,78,81026,4309,30,0.01777980396626396,0.7222222222222222,0.034705228031145716,0.7587795829772045,-25001.37,24666.539999999997
5.0,CS_EpsilonGreedy,43,84,80968,4367,24,0.01887216355875084,0.7777777777777778,0.0368501864443957,0.7599358930727327,-24792.51,24457.679999999997
5.0,CS_EpsilonGreedy,44,78,80813,4522,30,0.016956521739130436,0.7222222222222222,0.03313508920985557,0.7096471530091331,-27199.66,26864.829999999998
5.0,CS_EpsilonGreedy,45,79,81116,4219,29,0.018380642159143788,0.7314814814814815,0.035860190649114845,0.7552154741313969,-24734.25,24399.42
5.0,CS_EpsilonGreedy,46,81,80918,4417,27,0.018008003557136505,0.75,0.03517151541467651,0.7298104221887429,-25108.36,24773.53
5.0,CS_LinUCB,42,83,85312,23,25,0.7830188679245284,0.7685185185185185,0.7757009345794392,0.7566914833162415,-3069.7000000000003,2734.8700000000003
5.0,CS_LinUCB,43,83,85312,23,25,0.7830188679245284,0.7685185185185185,0.7757009345794392,0.7568409126633132,-3069.7000000000003,2734.8700000000003
5.0,CS_LinUCB,44,83,85312,23,25,0.7830188679245284,0.7685185185185185,0.7757009345794392,0.7568409126633132,-3069.7000000000003,2734.8700000000003
5.0,CS_LinUCB,45,83,85312,23,25,0.7830188679245284,0.7685185185185185,0.7757009345794392,0.7568409126633132,-3069.7000000000003,2734.8700000000003
5.0,CS_LinUCB,46,83,85312,23,25,0.7830188679245284,0.7685185185185185,0.7757009345794392,0.7568409126633132,-3069.7000000000003,2734.8700000000003
5.0,CS_LinTS,42,83,85319,16,25,0.8383838383838383,0.7685185185185185,0.8019323671497585,0.7601710496146182,-3034.7000000000003,2699.8700000000003
5.0,CS_LinTS,43,83,85313,22,25,0.7904761904761904,0.7685185185185185,0.7793427230046949,0.7592010337983955,-3064.7000000000003,2729.8700000000003
5.0,CS_LinTS,44,83,85317,18,25,0.8217821782178217,0.7685185185185185,0.7942583732057416,0.7595838749640272,-3044.7000000000003,2709.8700000000003
